Name,Profile URL,Keywords Found
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
"Bielicki, Jeffrey",https://glenn.osu.edu/jeffrey-bielicki,"data science, data, technology"
"Clark, Jill",https://glenn.osu.edu/jill-clark,data
"Dormady, Noah",https://glenn.osu.edu/noah-dormady,data
"Girth, Amanda",https://glenn.osu.edu/amanda-girth,technology
"Gules-Guctas, Esra",https://glenn.osu.edu/esra-gules-guctas,"data, technology, artificial intelligence"
"Hawley, Joshua",https://glenn.osu.edu/joshua-hawley,"data science, data, big data"
"Hill, Ned",https://glenn.osu.edu/ned-hill,technology
"Hollingsworth, Alex",https://glenn.osu.edu/alex-hollingsworth,"data, technology"
"Hooker, Neal",https://glenn.osu.edu/neal-hooker,data
"Inwood, Shoshanah",https://glenn.osu.edu/shoshanah-inwood,data
"Jones, Lauren",https://glenn.osu.edu/lauren-jones,data
"Kogan, Vladimir",https://glenn.osu.edu/vladimir-kogan,data
"Landsbergen, David",https://glenn.osu.edu/david-landsbergen,"open source, technology, software"
"Lavertu, Stéphane",https://glenn.osu.edu/stéphane-lavertu,data
"LePere-Schloop, Megan",https://glenn.osu.edu/megan-lepere-schloop,"programming, machine learning, data"
"Merritt, Deborah",https://glenn.osu.edu/deborah-merritt,technology
"Mittendorf, Brian",https://glenn.osu.edu/brian-mittendorf,programming
"Moulton, Stephanie",https://glenn.osu.edu/stephanie-moulton,data
"Neblo, Michael",https://glenn.osu.edu/michael-neblo,technology
"Tesfai , Lilly",https://glenn.osu.edu/lilly-tesfai,"data, technology"
"Tran, Long",https://glenn.osu.edu/long-tran,data
"Vinopal, Katie",https://glenn.osu.edu/katie-vinopal,data
"Weinberg, Bruce",https://glenn.osu.edu/bruce-weinberg,technology
"Wilson, Greg",https://glenn.osu.edu/greg-wilson,data
"Xu, Wendy",https://glenn.osu.edu/wendy-xu,data
